plz,name,lat,long,ev_count,population,area
27793,Wildeshausen,52.8797409896,8.4036488398,9,18920,89.55179
76135,Karlsruhe,48.9915566774,8.37788929382,4,19896,5.168501
76706,Dettenheim,49.1720659795,8.42100618095,3,6453,30.88349
25591,Ottenbüttel,53.9689784951,9.50250646126,0,746,9.844586
24879,Idstedt,54.5722538546,9.51175848848,0,1966,17.911327
30826,Garbsen,52.46023324,9.56158975053,1,16876,56.389909
37643,Negenborn,51.8906244928,9.5799660263,0,722,9.813283
88524,Uttenweiler,48.1578606507,9.61079023582,2,3540,50.074375
25590,Osterstedt,54.1087432707,9.58456656405,0,661,10.966076
74545,Michelfeld,49.115095891,9.6466853196,0,3683,35.178502
74638,Waldenburg,49.1696845198,9.6402328244,0,2893,31.532915
89597,Munderkingen,48.2254830272,9.64086595093,1,5437,19.181024
25492,Heist,53.6472145636,9.67239752197,0,2835,10.046428
79695,Wieden,47.8436972045,7.88915276672,0,568,12.235002
65366,Geisenheim,50.0325012671,7.93928555727,5,11507,40.273003
79736,Rickenbach,47.6160419484,7.97213423773,1,3821,34.615241
77770,Durbach,48.484804556,8.02871962619,1,3767,26.289958
65329,Hohenstein,50.1961023419,8.1003768541,2,6036,63.067362
67317,Altleiningen,49.4976958568,8.07508773861,0,1789,9.939301
65555,Limburg,50.4171216806,8.06696929806,2,2430,5.194851
48149,Münster,51.9654923149,7.59727602898,3,20276,7.621289
26901,"Lorup, Rastdorf",52.9317373087,7.66939777689,0,4266,77.700843
48153,Münster,51.9342834034,7.62615903126,2,20051,4.757479
49509,Recke,52.3627471989,7.70731533356,4,11410,53.627197
79599,Wittlingen,47.6579759571,7.65468850189,0,972,3.830684
49477,Ibbenbüren,52.2805183432,7.70870780545,11,25867,12.008845
67735,Mehlbach,49.524225869,7.72113124439,0,1113,8.976493
67659,Kaiserslautern,49.4689664764,7.74468279279,2,21420,26.823438
56235,Ransbach-Baumbach,50.4644097674,7.72679151336,0,7792,13.54619
67663,Kaiserslautern,49.4211593051,7.79576630183,5,23163,37.505144
